STT,Từ khóa chính,Tỉnh thành,Bài viết,BTV,NV deadline cũ,Bài đăng,PIC xin và gắn link ảnh,PIC Đăng lại,PC QC,Trạng thái
25,cao nguyên hoa đà lạt,Lâm Đồng,https://docs.google.com/document/d/1OXusqrhn66pfzdND50TfNi_AbCPX6errLLX1ugXcY7k/edit?tab=t.0,Hạnh,Hân 4/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/cao-nguyen-hoa-da-lat,,,,Chưa triển khai
26,chợ đêm đà lạt,Lâm Đồng,https://docs.google.com/document/d/1UDV0Sq5K9Z9UCYgGZ2qicyBio3htCuTNQbB5Mwk1w5Q/edit?tab=t.0#heading=h.wnl41qcclyyp,Hạnh,Hạnh 24/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/cho-dem-da-lat,,,,Chưa triển khai
27,happy hill đà lạt,Lâm Đồng,https://docs.google.com/document/d/1GqugdAFvBlHh3cEQFddc1cGCGQ766NpKFYYlar2T0YA/edit?tab=t.0#heading=h.pp9uvvhg7nlg,Hạnh,Hân 26/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/happy-hill-da-lat,,,,Chưa triển khai
28,an sơn hồ đà lạt,Lâm Đồng,https://docs.google.com/document/d/1hfClfpptSAbumRocPqBbb_g7lEiIpfF0U0riPltw0CQ/edit?tab=t.0,Hạnh,Hạnh 24/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/an-son-ho-da-lat,,,,Chưa triển khai
29,hồ xuân hương đà lạt,Lâm Đồng,https://docs.google.com/document/d/100w-aVXXd-JT0I2WsLbYdJ1IlaOJVuKcP-W1QL2pwqc/edit?tab=t.0,Hạnh,Hân 26/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/ho-xuan-huong-da-lat,,,,Chưa triển khai
30,mongo land - dalat,Lâm Đồng,https://docs.google.com/document/d/1k-GTtaSAMNATywoJsbgdKwL1ULBMVFxSqVPQo1abqtY/edit?usp=sharing,Hạnh,Hạnh 24/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/mongo-land-da-lat,,,,Chưa triển khai
31,quảng trường đà lạt,Lâm Đồng,https://docs.google.com/document/d/1XZ8ysJXTyN3aHVJFFByTCqQeUxD-QB48_MGCG6n7VBA/edit?tab=t.0,Hạnh,Hân 26/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/quang-truong-da-lat,,,,Chưa triển khai
32,săn mây đà lạt,Lâm Đồng,https://docs.google.com/document/d/1c8TdpELTps11yWG3Kgqpjn_oYjAjAk6I_OL6oa0AG1w/edit?copiedFromTrash&tab=t.0#heading=h.j4fb7vpqu0it,Hạnh,Hân 12/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/san-may-da-lat,,,,Chưa triển khai
33,thiền viện trúc lâm đà lạt,Lâm Đồng,https://docs.google.com/document/d/1QitVibj8FfspHdHLkXQiViciAzZWwe8I076MRH-Bt8o/edit?tab=t.0,Hạnh,Hân 26/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/thien-vien-truc-lam-da-lat,,,,Chưa triển khai
34,thung lũng tình yêu,Lâm Đồng,https://docs.google.com/document/d/1Pzc6PRE-pbpEHAr2ElYOT8USCEb-fDNPsM1ZraTvTq4/edit?tab=t.0,Hạnh,Hân 26/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/thung-lung-tinh-yeu,,,,Chưa triển khai
35,vườn dâu đà lạt,Lâm Đồng,https://docs.google.com/document/d/1hu1v4pOir97_vTMly04clOvbDpUSE_9aWok3Q_NB9RU/edit?tab=t.0,Châu Anh,C Thy 13/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/vuon-dau-da-lat,,,,Chưa triển khai
36,vườn hoa đà lạt,Lâm Đồng,https://docs.google.com/document/d/1iSQ-KLezwDdfoHqoMM27BrMV1RTM5zgXrHJRZpLD8IA/edit?tab=t.0,Hạnh,Hạnh 24/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/vuon-hoa-da-lat,,,,Chưa triển khai
37,xóm lèo đà lạt,Lâm Đồng,https://docs.google.com/document/d/1bG8AqRBz7eAJq_tEW0hyjzQKEyjW3YOV4a_MQ7dY_Hk/edit?tab=t.0,Hạnh,Hạnh 24/2,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/xom-leo-da-lat,,,,Chưa triển khai
38,du lịch tam đảo,Vĩnh Phúc,https://docs.google.com/document/d/1Kj2pNmLN7hgkXCWJhoJQbSQz3_zF4FVPNlzyv5MCVYc/edit?tab=t.0,Châu Anh,Châu Anh,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/du-lich-tam-dao,,,,Chưa triển khai
39,ăn gì ở tam đảo,Vĩnh Phúc,https://docs.google.com/document/d/1Ok_IlT33Kn-G3DIOFgbb60SAx-QAXs43oDN_vAMChGE/edit?tab=t.0,Châu Anh,Châu Anh,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/an-gi-o-tam-dao,,,,Chưa triển khai
40,tam đảo có gì chơi,Vĩnh Phúc,https://docs.google.com/document/d/1l67CukqeyQFGj0RhEzqhrZ3uf6TL7YYV_ROsRlzp4I4/edit?tab=t.0#heading=h.ezrd9nty5qc,Châu Anh,Châu Anh,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/tam-dao-co-gi-choi,,,,Chưa triển khai
41,đặc sản tam đảo,Vĩnh Phúc,https://docs.google.com/document/d/1pqt7s53f68B7C8BIk1jLrhl1KNVGu9czFebbiBgXrNk/edit?tab=t.0,Châu Anh,Châu Anh,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/dac-san-tam-dao,,,,Chưa triển khai
42,cầu mây tam đảo,Vĩnh Phúc,https://docs.google.com/document/d/1ZJNIcc9X2wI-6-nxSHQJXKIbWhzPSf2Te5BMJvV4iEA/edit?usp=sharing,Châu Anh,Châu Anh,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/cau-may-tam-dao,,,,Chưa triển khai
43,vườn quốc gia tam đảo,Vĩnh Phúc,https://docs.google.com/document/d/1AfpRoC9Xs6J0SV9w-YuIfXvhYiMDYkOSFEpiH0Gx_rg/edit?usp=sharing,Châu Anh,Châu Anh,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/vuon-quoc-gia-tam-dao,,,,Chưa triển khai
44,côn đảo võ thị sáu,Bà Rịa - Vũng Tàu,https://docs.google.com/document/d/1bpHpEg4Or0NfjW_qlmHfRkDQnGSnIJypm9q-PvOw-CI/edit?tab=t.0,Châu Anh,C Hà Phương 10/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/con-dao-vo-thi-sau,,,,Chưa triển khai
45,đặc sản hải phòng,Hải Phòng,https://docs.google.com/document/d/11J1eqV_HFZzPh8LB9e0jBodpA_VJ1dXNJ9WOaEC04_0/edit?usp=sharing,Châu Anh,C Hà Phương 10/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/dac-san-hai-phong,,,,Chưa triển khai
46,du lịch vĩnh phúc,Vĩnh Phúc,https://docs.google.com/document/d/1tifTZN99SzWkIMoBLgn0xWs9McMVVE_LWdFtj-k3KFc/edit?tab=t.0,Châu Anh,C Hà Phương 10/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/du-lich-vinh-phuc,,,,Chưa triển khai
47,đặc sản vĩnh phúc,Vĩnh Phúc,https://docs.google.com/document/d/12UpFvg3lgfvVUMGVLMhcDtHIJfM0dQy-zS_lziu7h98/edit?usp=sharing,Châu Anh,C Hà Phương 10/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/dac-san-vinh-phuc,,,,Chưa triển khai
48,tây thiên tam đảo,Vĩnh Phúc,https://docs.google.com/document/d/1AycczTJdU8NaxUMQu6K3RYbcSg03GpFrYTkWrHJr-fk/edit?tab=t.0,Châu Anh,Mai Phương 17/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/tay-thien-tam-dao,,,,Chưa triển khai
49,đảo côn sơn,Bà Rịa - Vũng Tàu,https://docs.google.com/document/d/1cQRsjsevAokzl_eKGv64k18-Kg1boYO0rMVX-ZzrkN8/edit?tab=t.0,Châu Anh,Mai Phương 17/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/dao-con-son,,,,Chưa triển khai
50,đại lải vĩnh phúc,Vĩnh Phúc,https://docs.google.com/document/d/1JQVunOx5aHCfcQ2smZJwkSdrbkVpEnEmTBDXjsaicZw/edit?tab=t.0,Châu Anh,Mai Phương 17/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/dai-lai-vinh-phuc,,,,Chưa triển khai
51,cầu rồng đà nẵng,Đà Nẵng,https://docs.google.com/document/d/1iW1jE15sTn5kTgS9YaN3PoWZJh542DI_gadCgMG1S1I/edit?tab=t.0,Hạnh,Hân 20/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/cau-rong-da-nang,,,,Chưa triển khai
52,cầu vàng đà nẵng,Đà Nẵng,https://docs.google.com/document/d/11gYKMQ5ID8DVen_JgUuuBD8u5ZFxZ9kNGfS5edWYSvk/edit?tab=t.0,Hạnh,Hân 20/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/cau-vang-da-nang,,,,Chưa triển khai
53,chợ cồn đà nẵng,Đà Nẵng,https://docs.google.com/document/d/1-7_AnbsPv5dHOmt_ru3G1ozYTi7VDhXw94PBLs4Xsi4/edit?usp=sharing,Hạnh,Hân 20/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/cho-con-da-nang,,,,Chưa triển khai
54,chùa linh ứng đà nẵng,Đà Nẵng,https://docs.google.com/document/d/1OvKyjYACJf3eNvIhZuaGV9uSnB-iykVWvgP0E_oPhcs/edit?tab=t.0,Hạnh,Hân 22/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/chua-linh-ung-da-nang,,,,Chưa triển khai
55,ngũ hành sơn đà nẵng,Đà Nẵng,https://docs.google.com/document/d/1XMboTNgUtNawfcSlRjjcfmTeq_4GRWw8Ysv79N_EUlE/edit?tab=t.0,Hạnh,Hân 22/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/ngu-hanh-son-da-nang,,,,Chưa triển khai
56,bảo tàng hà nội,Hà Nội,https://docs.google.com/document/d/1Mi9OLd2-pYx1RNWP3F_aYR45g-Wyax1XEc90qF-Z_6A/edit?usp=sharing,Hạnh,Bảo Ngọc 17/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/bao-tang-ha-noi,,,,Chưa triển khai
57,chợ long biên,Hà Nội,https://docs.google.com/document/d/1GqjpmXW6td6MyWPm936JNXvB79buDbVNq1tjeA7NaWQ/edit?usp=sharing,Hạnh,Hân 20/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/cho-long-bien,,,,Chưa triển khai
58,hoàng thành thăng long,Hà Nội,https://docs.google.com/document/d/1yyjcpQEvnEvwVEdIUfjgnEG9SX3JilR7BQ_3XuhGEQU/edit?usp=sharing,Hạnh,Bảo Ngọc 17/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/hoang-thanh-thang-long,,,,Chưa triển khai
59,quảng phú cầu,Hà Nội,https://docs.google.com/document/d/1Cy0j7LbgnJKyim5CLK7GN2TEQdo04GDSsv4vujdItvk/edit?usp=sharing,Hạnh,Hân 22/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/quang-phu-cau,,,,Chưa triển khai
60,phố đi bộ bùi viện,Hồ Chí Minh,https://docs.google.com/document/d/1Dh-XnIauZUzooNyltMTQX3RAw061iQJEu6rG7fpVon8/edit?tab=t.0,Hạnh,Thy,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/pho-di-bo-bui-vien,,,,Chưa triển khai
61,chùa bửu long,Hồ Chí Minh,https://docs.google.com/document/d/1cSyay9MF2A66cvYJ40EHyTpOK0fywW6jvA8eElY1FW4/edit?usp=sharing,Hạnh,Bảo Ngọc 18/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/chua-buu-long,,,,Chưa triển khai
62,văn miếu quốc tử giám,Hà Nội,https://docs.google.com/document/d/1WUv57_Qfi9W-gQ-nVPsitm2ZV2yZUnXvTalohiqa40w/edit?tab=t.0,Trang,Trúc 1/5,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/van-mieu-quoc-tu-giam,,,,Chưa triển khai
63,đặc sản phan thiết,Bình Thuận,https://docs.google.com/document/d/100w-aVXXd-JT0I2WsLbYdJ1IlaOJVuKcP-W1QL2pwqc/edit?tab=t.0,Châu Anh,Mai Phương 17/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/dac-san-phan-thiet,,,,Chưa triển khai
64,bãi biển phan thiết,Bình Thuận,https://docs.google.com/document/d/1JiPuBYvxdy4pW1xi921fXi3BOLkyuWRz8Ep_8Qo_b6E/edit?tab=t.0,Châu Anh,Mai Phương 17/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/bai-bien-phan-thiet,,,,Chưa triển khai
65,bãi biển mũi né,Bình Thuận,https://docs.google.com/document/d/1CMPyxk-iF2H50zQr6FuJmRtwgjhRz-fEVpAmV5ZEkII/edit?tab=t.0,Châu Anh,Mai Phương 17/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/bai-bien-mui-ne,,,,Chưa triển khai
66,phan thiết có gì chơi,Bình Thuận,https://docs.google.com/document/d/1bKHLn82QCLpmpv4ury6Av5cFachRA1y6OEArM4vyrP0/edit?tab=t.0,Châu Anh,Mai Phương 17/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/phan-thiet-co-gi-choi,,,,Chưa triển khai
67,đặc sản bình thuận,Bình Thuận,https://docs.google.com/document/d/1LJ0KLgA8O-LOefI3HMgD4VhkuNyDzWeg_rbYh5bwY18/edit?tab=t.0,Châu Anh,C Hà Phương 18/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/dac-san-binh-thuan,,,,Chưa triển khai
68,du lịch bình thuận,Bình Thuận,https://docs.google.com/document/d/1VhcroOUkzDVO8u-W9lxaQzUicMDPAktgqYC9zCpMc6Y/edit?tab=t.0,Châu Anh,C Hà Phương 18/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/du-lich-binh-thuan,,,,Chưa triển khai
69,du lịch mũi né,Bình Thuận,https://docs.google.com/document/d/11D37rwIhDAsi6BUDNvtgKh9MtTC45yYtX7elO-LaC3s/edit?tab=t.0,Châu Anh,C Hà Phương 18/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/du-lich-mui-ne,,,,Chưa triển khai
70,đồi cát mũi né,Bình Thuận,https://docs.google.com/document/d/1pxbByibfHfvPtK_lQpUI55AbBa9CNReT2RJfYrmG7KM/edit?tab=t.0,Châu Anh,C Hà Phương 18/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/doi-cat-mui-ne,,,,Chưa triển khai
71,đồi cát trắng,Bình Thuận,https://docs.google.com/document/d/1X0b_rFNZAEc0WVD1UFN-5VjFq1NVi5mxna2jggQblZo/edit?tab=t.0,Châu Anh,C Thy 18/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/doi-cat-trang,,,,Chưa triển khai
72,du lịch phan thiết,Bình Thuận,https://docs.google.com/document/d/1lUaImsXPCxYvbR1ok6Y9-4ROqSXN3Q-yZxepFprEg6k/edit?tab=t.0,Châu Anh,C Thy 18/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/du-lich-phan-thiet,,,,Chưa triển khai
73,hải sản phan thiết,Bình Thuận,https://docs.google.com/document/d/17u0W2wj2naqlDa6mhpPuerNKdlithrlcopE6J_Vg5y4/edit?tab=t.0,Châu Anh,C Thy 18/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/hai-san-phan-thiet,,,,Chưa triển khai
74,chợ phan thiết,Bình Thuận,https://docs.google.com/document/d/1lYDZ1Ce9Iah4Ya1I89_65bMkS2yobU7PJm8dGgSIbPs/edit?tab=t.0,Châu Anh,C Thy 18/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/cho-phan-thiet,,,,Chưa triển khai
75,dốc hoàng hôn,Bình Thuận,https://docs.google.com/document/d/1I7JFcHicEZr0WqE-khM285sxFDix75nG6LdsSJNavk8/edit?tab=t.0,Châu Anh,Mai Phương 17/3,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/doc-hoang-hon,,,,Chưa triển khai
76,làng chài mũi né,Bình Thuận,https://docs.google.com/document/d/1PrBKeWnAQfincdSbKuhd1U_RTlhk1Lcbn1VRuFtWlgI/edit?usp=sharing,Trang,Nhi 26/5,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/lang-chai-mui-ne,,,,Chưa triển khai
77,đền quán thánh,Hà Nội,https://docs.google.com/document/d/1BxjqwjSJQp7KhCww4eQ8-54eDB38QpQtiAOue2klbwM/edit?usp=sharing,Hạnh,Hạnh,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/den-quan-thanh,,,,Chưa triển khai
78,vườn quốc gia cúc phương,Ninh Bình,https://docs.google.com/document/d/1XErXwxw7atvLTkd0zFHf7nuc1u6mXUYjnLYfIPZCopQ/edit?tab=t.0,Trang,Nhi 26/5,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/vuon-quoc-gia-cuc-phuong,,,,Chưa triển khai
79,cố đô hoa lư,Ninh Bình,https://docs.google.com/document/d/1zO9l_LiSP0rgkbd6yA4B6v1liURkE7XPM_BGMsovpUg/edit?tab=t.0,Hạnh,Hạnh,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/co-do-hoa-lu,,,,Chưa triển khai
80,ninh bình có gì chơi,Ninh Bình,https://docs.google.com/document/d/1EQkU_MaX7hbG84mhk8jzA26oiRIh7OagfB8kaqK4piA/edit?tab=t.0#heading=h.5s422pooquy9,Hạnh,Hạnh,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/ninh-binh-co-gi-choi,,,,Chưa triển khai
81,đặc sản ninh bình,Ninh Bình,https://docs.google.com/document/d/1mzOVAB_62wNPsRf18oKYrhdrVKRWQqOoRFG4SfoHHkQ/edit?usp=sharing,Hạnh,Hạnh,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/dac-san-ninh-binh,,,,Chưa triển khai
82,thung nham ninh bình,Ninh Bình,https://docs.google.com/document/d/1EGozJXrdcYEM2rFQZPFisng9gyp0oOmnNBdEbmY3UUw/edit?tab=t.0,Hạnh,Hạnh,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/thung-nham-ninh-binh,,,,Chưa triển khai
83,đèo hải vân,"Thừa Thiên Huế, Đà Nẵng",https://docs.google.com/document/d/1FJRe2PQ0YK4Vp7sSALjZra-NUfXwFVaxf_4Ojw99yPw/edit?tab=t.0,Hạnh,,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/deo-hai-van,,,,Chưa triển khai
84,du lịch chùa hương,Hà Nội,https://docs.google.com/document/d/1JsPAKr62jBZcyZVd_EbQJaRPfZOlgjwH5iEOu4OYwSc/edit?usp=sharing,Trang,Trúc 19/5,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/du-lich-chua-huong,,,,Chưa triển khai
85,chợ bà chiểu,Hồ Chí Minh,https://docs.google.com/document/d/1-LNIIE5owSi1WaVij0AzkYl9q6DQUMVjU1c5YR9r9U8/edit?tab=t.0,Hạnh,,https://www.vietnamairlines.com/vn/vi/useful-information/travel-guide/cho-ba-chieu,,,,Chưa triển khai
