STT,Từ khóa chính,Tỉnh thành,Bài viết,BTV,NV deadline,Bài đăng,PIC xin và gắn link ảnh,PIC Đăng lại,PC QC,Trạng thái
33,things to do in danang vietnam,Đà Nẵng,https://docs.google.com/document/d/10p4bbiabmWLEX75u60O0wdZPhZv3wyUxrxdoy2VRkJE/edit?usp=sharing,Lô,Trang 2/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/things-to-do-in-danang-vietnam,,,,Chưa triển khai
34,da nang shopping mall,Đà Nẵng,https://docs.google.com/document/d/1wc9PQhiEa8xN-mtdaHlMSUIDN39LroBuD3CHa6Z43fw/edit?tab=t.0,Hạnh,Bảo Ngọc 14/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/danang-shopping-mall,,,,Chưa triển khai
35,shopping in danang,Đà Nẵng,https://docs.google.com/document/d/1P9Og15lBZWHD7eOl544vploQwENQhcdS5Lpit_Vf3Ow/edit?usp=sharing,Lô,N.Anh 16/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/shopping-in-danang,,,,Chưa triển khai
36,nightlife in da nang,Đà Nẵng,https://docs.google.com/document/d/1but_pQ80U-S89rexv8ihrie_VEsb-c3Op_zT2EmK4Fg/edit?tab=t.0#heading=h.jrw1meue5ybf,Lô,P.Anh,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/nightlife-in-da-nang,,,,Chưa triển khai
37,night market da nang,Đà Nẵng,https://docs.google.com/document/d/1sb74mk87LCltbGoqctG8xwpxFTxLwZrGs1rXvkdraeA/edit?usp=drive_link,Hạnh,Trang 12/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/night-market-da-nang,,,,Chưa triển khai
38,danang to hoi an,Đà Nẵng,https://docs.google.com/document/d/1wsy74niS581P6vi9glPIXkh4Ln-bzMdsyYH1FHdDgKU/edit?usp=sharing,Lô,P.Anh 15/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/danang-to-hoi-an,,,,Chưa triển khai
39,what to do in hoi an,Hội An,https://docs.google.com/document/d/1sckvPeBw7yFQIyiKPeI_ibA7HLYSw21fmTqg4i0h7ZY/edit?usp=sharing,Lô,P.Anh,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/what-to-do-in-hoi-an,,,,Chưa triển khai
40,hoai river,Hội An,https://docs.google.com/document/d/1qhJxO80XwuvwboW2dYF7Xhay-GUcJVkfBaWNYSOnF3o/edit?tab=t.0,Hạnh,Trang 12/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/hoai-river,,,,Chưa triển khai
41,coconut village hoi an,Hội An,https://docs.google.com/document/d/1_fbqr_Cg5TTSYEGCFAcz1PFGlP9OguwGu_7-uQZpN_k/edit?usp=sharing,Hạnh, Trang 14/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/coconut-village-hoi-an,,,,Chưa triển khai
42,best restaurants in hoi an ancient town,Hội An,https://docs.google.com/document/d/1hdYmKbDF6Bz-OuVPd4AE9aO2w8vyMZQ--KDQJYa2Uik/edit,Lô,P.Anh,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/best-restaurants-in-hoi-an-ancient-town,,,,Chưa triển khai
43,hoi an tailoring,Hội An,https://docs.google.com/document/d/16KeeeWzNbJil2b_mtigc1O1bs6jkjQnUmAk2HHyCqbY/edit?usp=sharing,Hạnh,Bảo Ngọc 12/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/hoi-an-tailoring,,,,Chưa triển khai
44,lantern festival hoi an,Hội An,https://docs.google.com/document/d/12ioD4kQeJl7EZFwvpMblVoMT0DpDri-HcH4RtTEbsms/edit?usp=sharing,Hạnh,Bảo Ngọc 13/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/lantern-festival-hoi-an,,,,Chưa triển khai
45,hoi an to hue,Chung chung,https://docs.google.com/document/d/1N9UEKBYSttFlCanpdPm7SXg-XHphKk4lnp3hYDhcn64/edit?usp=sharing,Hạnh,P.Anh 14/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/hoi-an-to-hue,,,,Chưa triển khai
46,night market hoi an,Hội An,https://docs.google.com/document/d/1VQ0R4f42l0cT_nsq36RuXDhsGpG2ZjL1wAnPK2bi9qY/edit?tab=t.0,Lô,Trang 2/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/night-market-hoi-an,,,,Chưa triển khai
47,japanese bridge hoi an,Hội An,https://docs.google.com/document/d/1g9pI54C5ZjGe5ZjIETn8tCDMOIsVDecO2r0dCVIt7Uc/edit?usp=sharing,Hạnh,Hạnh 7/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/japanese-bridge-hoi-an,,,,Chưa triển khai
48,hoi an museum,Hội An,https://docs.google.com/document/d/1qmop1xHHeNIT4Bpy_h159ligq1kBa2jadxYVritzwcY/edit?usp=sharing,Lô,Trang 2/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/hoi-an-museum,,,,Chưa triển khai
49,banh mi hoi an,Hội An,https://docs.google.com/document/d/13acjFyLlj7U8gYmn4czb1SSuoxJNiKBRLQ1JjCOUIc8/edit?tab=t.0,Lô,Trang 2/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/banh-mi-hoi-an,,,,Chưa triển khai
50,hoi an ancient town,Hội An,https://docs.google.com/document/d/1f22pcHQQqgDtZMvEcLhkb65ik8AaNCx_dZOMJYuFiHM/edit?tab=t.0,Hạnh,Hạnh 12/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/hoi-an-ancient-town,,,,Chưa triển khai
51,monkey mountains,Đà Nẵng,https://docs.google.com/document/d/1OEX4IPQvVflnGFA8KG6-nZ3_hBw2XhNaZKUdDM64fxI/edit?tab=t.0,Hạnh,Bảo Ngọc 13/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/monkey-mountains,,,,Chưa triển khai
52,hai van pass,Đà Nẵng,https://docs.google.com/document/d/1hx8jcC0fDs7T41z5O9wmyN4LX_5anBE49FqAEm3MHKA/edit?tab=t.0,Hạnh,Hạnh 11/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/hai-van-pass,,,,Chưa triển khai
53,cham island,Đà Nẵng,https://docs.google.com/document/d/1qAgBpXMefk723TJhLjDTwHVf4dnAA6zh1HJSalwnuyA/edit?tab=t.0,Hạnh,Bảo Ngọc 14/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/cham-island,,,,Chưa triển khai
54,golden bridge vietnam,Đà Nẵng,https://docs.google.com/document/d/1KTCBLB8hveoR7FLRVoQ3cfnKkWux1af5wti0VVpIBGM/edit?tab=t.0,Lô,Lô,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/golden-bridge-vietnam,,,,Chưa triển khai
55,dragon bridge danang,Đà Nẵng,https://docs.google.com/document/d/1Qj5SbmzCtUsv3FBdhny77RgYbWEqFC_AwpDdtwyn-Ac/edit?usp=sharing,Lô,N.Anh 25/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/dragon-bridge-danang,,,,Chưa triển khai
56,love bridge da nang,Đà Nẵng,https://docs.google.com/document/d/149kFudVIKivYpEl6ozMBsfom7jzyP9bBBI7lXQ56qzg/edit?usp=drivesdk,Hạnh, Trang 14/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/love-bridge-da-nang,,,,Chưa triển khai
57,da nang bridge,Đà Nẵng,https://docs.google.com/document/d/1wWmd0SRVE0eDYaJpqkUSWe1g4MfsGES5nC5NpaDovEA/edit?tab=t.0,Lô,N.Anh 25/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/da-nang-bridge,,,,Chưa triển khai
58,best time to visit da nang,Đà Nẵng,https://docs.google.com/document/d/1o739QLilfBVE1Pp2oxaAOfT1zxA2TrgyszOM0Kw7QFs/edit?tab=t.0,Hạnh,Hạnh 13/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/best-time-to-visit-danang,,,,Chưa triển khai
59,an bang beach hoi an,Hội An,https://docs.google.com/document/d/1O9GU6LxtQlVo02lKiKzvqGsTjnUpj0uh_KVYBIJsY9s/edit?tab=t.0,Hạnh,Hạnh 12/3,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/an-bang-beach-hoi-an,,,,Chưa triển khai
60,bar in danang,Đà Nẵng,https://docs.google.com/document/d/137N87duTWaIvPiqJSVE3Dl1yiOruhDaSKecdqbOpNk0/edit?usp=sharing,Lô,N.Anh 28/2,https://www.vietnamairlines.com/us/en/useful-information/travel-guide/bar-in-danang,,,,Chưa triển khai
61,danang vietnam beach,Đà Nẵng,https://docs.google.com/document/d/1HlCqtyi5dA3DxP1CQVjYZ47RAocUpTrKQ6ig4RDUO_k/edit?tab=t.0,Phương,Phương,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/danang-vietnam-beach,,,,Chưa triển khai
62,fun facts about vietnam,VN,https://docs.google.com/document/d/1sq4E6wq6zXocDC0DZLlwvMGwE8afybWUMV-aiTmQKyw/edit?tab=t.0,Lô,N.Anh 14/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/fun-facts-about-vietnam,,,,Chưa triển khai
63,best time to go to vietnam,Chung chung,https://docs.google.com/document/d/1wuSBp8fiLwja9tZ5nmdaVt3U3rBHpYQYyX6lqA-Afmk/edit?tab=t.0,Phương,C Thảo,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/best-time-to-go-to-vietnam,,,,Chưa triển khai
64,temple of literature,Hà Nội,https://docs.google.com/document/d/1mDgaDWqDOmHk9fLV3IUx6Aoh72ymNGKYWeXvTsUjeHM/edit?usp=sharing,Lô,P.Anh,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/temple-of-literature,,,,Chưa triển khai
65,imperial citadel of thang long,Hà Nội,https://docs.google.com/document/d/1v3m0z0o0RxqJPyOidTMHbChFODqJaJNVBinrtllFICE/edit?tab=t.0,Phương,C Thy,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/imperial-citadel-of-thang-long,,,,Chưa triển khai
66,dong xuan market,Hà Nội,https://docs.google.com/document/d/1HlIDx_StFqYTPbH9LHFQXgv1tUm4-UPQu5AYLkAk9Vc/edit?usp=sharing,Lô,P.Anh 20/2,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/dong-xuan-market-hanoi,,,,Chưa triển khai
67,ho chi minh mausoleum,Hà Nội,https://docs.google.com/document/d/10mFDvF52S1bTnJJ5BRby0gVuHVD1YliD1KDzOZfduYI/edit?tab=t.0,Phương,C Thy ,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/ho-chi-minh-mausoleum,,,,Chưa triển khai
68,ho chi minh museum hanoi,Hà Nội,https://docs.google.com/document/d/1ODpTysrh71zdQjFmzwFIWUISLHYHqSmfUWI848IyK7E/edit?tab=t.0,Phương,C Thy,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/ho-chi-minh-museum-hanoi,,,,Chưa triển khai
69,hoa lo prison,Hà Nội,https://docs.google.com/document/d/1qc0oZKWQ1FBzkX5UR1nGiTYG5fnqfKe5h1mZjaV7T3I/edit?tab=t.0,Phương,C Thy,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hoa-lo-prison,,,,Chưa triển khai
70,hoan kiem lake,Hà Nội,https://docs.google.com/document/d/1ClGaSPUYxbXXdRTkGsCH1ZLBY_1wUk0BEpMHSO12VmM/edit?tab=t.0,Phương,Phương,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hoan-kiem-lake,,,,Chưa triển khai
71,long bien bridge,Hà Nội,https://docs.google.com/document/d/1auwu0RYxuu-WTlgKAs1ag5FX5S4j9y2U3-Dzzwa7n34/edit?tab=t.0#heading=h.ohmqc7hlis4a,Phương,C Thy,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/long-bien-bridge,,,,Chưa triển khai
72,ba dinh square,Hà Nội,https://docs.google.com/document/d/1R5bHoEz5Yi6zlF80qyoHW0fxZCIfGHDta5kJ3zWRP0s/edit?tab=t.0,Phương,Phương,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/ba-dinh-square,,,,Chưa triển khai
73,ba vi national park,Hà Nội,https://docs.google.com/document/d/1H5dSpv0yT7h4G8LUeYh8ASJN6qrfwYy7plQGKoTL9Ao/edit?tab=t.0#heading=h.2tl33566x8cw,Phương,C Thy,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/ba-vi-national-park,,,,Chưa triển khai
74,banh mi hanoi,Hà Nội,https://docs.google.com/document/d/1-_tvwd6a-mP_4mLGJbUZDSWtiRHExJfv5UoVYAGP_Lw/edit?tab=t.0,Phương,C Thy,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/banh-mi-hanoi,,,,Chưa triển khai
75,bat trang ceramic village,Hà Nội,https://docs.google.com/document/d/1iPtht4dNJLI19ZiiqA2ZepQd511P9QQQOZ6eurQofvI/edit?tab=t.0,Phương,C Thy,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/bat-trang-ceramic-village,,,,Chưa triển khai
76,ta hien beer street hanoi old quarter,Hà Nội,https://docs.google.com/document/d/1wvvZ-b1srgOxFDw4LmKaq0j35izyDgjDORgRcIztZmY/edit?tab=t.0,Phương,C Thy,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/ta-hien-beer-street-hanoi-old-quarter,,,,Chưa triển khai
77,bun cha hanoi,Hà Nội,https://docs.google.com/document/d/1tZmM0_9YGIQ3GA4xENLiOsJfWCXBiiK6TggtZskhiTE/edit?usp=sharing,Lô,P.Anh,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/bun-cha-hanoi,,,,Chưa triển khai
78,cafe hanoi,Hà Nội,https://docs.google.com/document/d/1Uqnz462eAC4M3ZMKXYtg2xkziFtMdob1hcuWtRhhgow/edit?tab=t.0,Phương,Phương,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/cafe-hanoi,,,,Chưa triển khai
79,hanoi districts,Hà Nội,https://docs.google.com/document/d/1I92UWRM75XSWJF9ZeSyeegkhRx5IUvleGZzGFkVvA-A/edit?tab=t.0,Phương,Phương,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hanoi-districts,,,,Chưa triển khai
80,duong lam ancient village,Hà Nội,https://docs.google.com/document/d/15rt2MOOm8fQwwirpCE_5YnIEisaawvfkDvbuezma0aA/edit?usp=sharing,Hạnh,Hạnh 24/2,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/duong-lam-ancient-village,,,,Chưa triển khai
81,egg coffee hanoi,Hà Nội,https://docs.google.com/document/d/1OwfOrtUlv48gKd8TmpUGsPj8EucsPP7tFUahulekMWY/edit?tab=t.0,Lô,N.Anh 26/2,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/egg-coffee-hanoi,,,,Chưa triển khai
82,food in hanoi,Hà Nội,https://docs.google.com/document/d/115VUCf9Pwi1vxgYkxfzhehCcYlOBSjSNDwY2J8gJVto/edit?tab=t.0,Phương,C Thy,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/food-in-hanoi,,,,Chưa triển khai
83,halal food in hanoi,Hà Nội,https://docs.google.com/document/d/16vS1kVtQxvNdQcGwgpgaUnMD_Sr5aYWPOQMY6UDWokI/edit?tab=t.0#heading=h.7ueuab6xbvg7,Lô,P.Anh 24/2,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/halal-food-in-hanoi,,,,Chưa triển khai
84,street food in hanoi,Hà Nội,https://docs.google.com/document/d/1pNO-_40wIUfgmpyUYzsYDaXTxg-XmmcY8aSUm8cj0Ys/edit?usp=sharing,Lô,P.Anh 24/2,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/street-food-in-hanoi,,,,Chưa triển khai
85,hanoi markets,Hà Nội,https://docs.google.com/document/d/1U12C2xUicV7-ns8LZid5AqVlXtDASb2Ngn1mtqpK0U4/edit?tab=t.0#heading=h.78lmrjcu9vhu,Phương,C Thy,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hanoi-markets,,,,Chưa triển khai
86,vietnam military history museum,Hà Nội,https://docs.google.com/document/d/1nZU1t6nPDvTiU5ljv2f6q0DitkmnQg234LbBzuZoPN0/edit?usp=sharing,Lô,P.Anh 17/4,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/vietnam-military-history-museum,,,,Chưa triển khai
87,hanoi museum of ethnology,Hà Nội,https://docs.google.com/document/d/1v-fSSQzEgoHR5zz5jRT88Sxvw7RX9algWYqumuU45XE/edit?usp=sharing,Hạnh,Hạnh 25/2,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hanoi-museum-of-ethnology,,,,Chưa triển khai
88,ngoc son temple,Hà Nội,https://docs.google.com/document/d/1oTSmo85a1_e0Lb0IhWN0s83gWy5ktkg2jPfF0zQjXV8/edit?usp=sharing,Hạnh,Hạnh 5/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/ngoc-son-temple,,,,Chưa triển khai
89,hanoi nightclub,Hà Nội,https://docs.google.com/document/d/14Vnv5WuiAI3ziSuW4gbxIuVOnvdFRGFPPJ0eEG--a6o/edit?tab=t.0,Lô,P.Anh,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hanoi-nightclub,,,,Chưa triển khai
90,hanoi night market,Hà Nội,https://docs.google.com/document/d/10L6iFoQjYTipJGOHU1-60i53z-9QQUeRKyUHfxG2QV8/edit?tab=t.0,Phương,Phương,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/hanoi-night-market,,,,Chưa triển khai
91,old quarter in hanoi,Hà Nội,https://docs.google.com/document/d/1DUunQR-uWCKq5e7SYPHKZq0GXlFQrJyqJ40WzP0yyvg/edit?usp=sharing,Hạnh,Hạnh 5/3,https://www.vietnamairlines.com/vn/en/useful-information/travel-guide/old-quarter-in-hanoi,,,,Chưa triển khai
